oper_num	bid_sector	iati_sector	description
XM-DAC-301-2-105342-002	00001	15220	Haiti continues to face serious challenges in the area of state building and democratization. A group of Latin American countries have assumed an active role within the peacekeeping forces coordinated by the United Nations Stabilization Mission in Haiti (MINUSTAH). Their effectiveness in this role depends on their ability to access and process evidence on the impact of their military and civil cooperation efforts. With collaboration from IDRC, research institutions in Argentina, Brazil, Chile and Mexico have begun studying Haiti's social, economic and political problems, and how to address them. This project will support these efforts by promoting the implementation of more and better studies, improving the training of young researchers, encouraging exchange and collaboration between research institutions, and facilitating debate in Latin America and the Caribbean on state-building in Haiti.
XM-DAC-301-2-105342-001	00001	15220	Haiti continues to face serious challenges in the area of state building and democratization. A group of Latin American countries have assumed an active role within the peacekeeping forces coordinated by the United Nations Stabilization Mission in Haiti (MINUSTAH). Their effectiveness in this role depends on their ability to access and process evidence on the impact of their military and civil cooperation efforts. With collaboration from IDRC, research institutions in Argentina, Brazil, Chile and Mexico have begun studying Haiti's social, economic and political problems, and how to address them. This project will support these efforts by promoting the implementation of more and better studies, improving the training of young researchers, encouraging exchange and collaboration between research institutions, and facilitating debate in Latin America and the Caribbean on state-building in Haiti.
IADB-ME-L1052	IS	16010	To extend coverage to the universe of extreme poor families with children in Mexico, adjust targeting mechanisms to improve efficiency, improve relevance of program conditions and workshops to urban and rural poverty conditions, and improve the fit of the program with overall social protection policy in Mexico.
XM-DAC-41114-OUTPUT-00071603	1	23010	Transformar el manejo de bosques de producción comunitarios ricos en biodiversidad mediante la creación de capacidades nacionales para el uso de instrumentos basados en el mercado
IADB-ME-L1047	RM-FIN	15111	The program objective is to strenghten the principal instriments of public expense to improve the efficiency and quality; based on the implementation and coordination of the Budget Based on Results.
XM-DAC-301-2-105400-003	00004	15110	Since the end of the debt crisis of the 1980s, Latin American governments have reduced deficits, lowered fiscal volatility, increased public expenditure and pioneered fiscal innovations. Latin American economies differ from industrial economies in the way public revenues are structured, how decentralized the fiscal system is, and the public services citizens receive for their taxes. Latin American fiscal performance is still a long way from closing the gap with industrialized economies, and important problems remain. For example, revenue generation relies on non-tax sources, which tend to be volatile. And, the tax structure is heavily based on regressive indirect taxes while public spending plays a limited role in redistribution.This project aims to help governments in Brazil, Chile, Guatemala, Mexico and Uruguay deliver better and fairer public goods and services by providing them with a tax benefit micro-simulation platform called LATINMOD. The platform will be capable of simulating most proposed reforms in personal taxes and social benefits, and the mechanics of redistribution policies and how they interact with one another. By using micro data from representative surveys, LATINMOD will be able to characterize the population in aggregate as well as by age, sex, economic status, family composition, region and income level to identify those who win and lose under a given reform. It is expected that this will contribute toward more equitable, efficient and transparent fiscal and social protection systems, and help consolidate democratic regimes in the region.
XM-DAC-301-2-105400-002	00004	15110	Since the end of the debt crisis of the 1980s, Latin American governments have reduced deficits, lowered fiscal volatility, increased public expenditure and pioneered fiscal innovations. Latin American economies differ from industrial economies in the way public revenues are structured, how decentralized the fiscal system is, and the public services citizens receive for their taxes. Latin American fiscal performance is still a long way from closing the gap with industrialized economies, and important problems remain. For example, revenue generation relies on non-tax sources, which tend to be volatile. And, the tax structure is heavily based on regressive indirect taxes while public spending plays a limited role in redistribution.This project aims to help governments in Brazil, Chile, Guatemala, Mexico and Uruguay deliver better and fairer public goods and services by providing them with a tax benefit micro-simulation platform called LATINMOD. The platform will be capable of simulating most proposed reforms in personal taxes and social benefits, and the mechanics of redistribution policies and how they interact with one another. By using micro data from representative surveys, LATINMOD will be able to characterize the population in aggregate as well as by age, sex, economic status, family composition, region and income level to identify those who win and lose under a given reform. It is expected that this will contribute toward more equitable, efficient and transparent fiscal and social protection systems, and help consolidate democratic regimes in the region.
IADB-ME-L1067	IS-POV	16010	The proposed operation will continue support to an agenda of innovations in urban areas to improve the impact of the program on the accumulation of human capital of the extreme poor, and to the attenuation of the social impact of the financial crisis on this same group.
IADB-ME-L1017	FM-BNK	24010	To contribute to the improvement of the public services and the strengthening of the institutional capacity of Sub-national Governments (SNG) or Public Services Providing Entities (PSPEs). The purpose of the first program is to contribute to the implementation of the Strategic Plan of BANOBRAS and of the National Development Plan through the following actions: i) sustainable expansion of access to financing for investment of SNG and PSPEs; ii) expansion and diversification of BANOBRAS's product portfolio according to the needs of the various market segments; iii) financing of priority investments in the framework of the development plans of the SNG and PSPE; and iv) increase in the number of sub-national projects with high economic and social return .
IADB-ME-L1065	FM-BNK	24010	The general objective of the proposed program is to promote the development of efficient and inclusive mortgage markets in Mexico. The purpose of the program is to support Sociedad Hipotecaria Federal, S.N.C. (SHF) in strengthening and developing the primary and secondary mortgage markets.
IADB-ME-L1058	PA	41010	To consolidate the instruments and the necessary means to implement the climate change mitigation and adaptation agenda, following the First Programmatic Operation (2047/OC-ME). This includes achievements in the institutional/normative frameworks, as well as specific activities in mitigation and adaptation.
XM-DAC-301-2-105559-001	00005	15170	This project aims to deepen understanding of the specific types of discrimination experienced by indigenous women based on gender, class and ethnic aspects of their identity. Teams of indigenous women have been formed in each of Argentina, Colombia and Mexico and each team has selected specific themes requiring investigation: education, health and the impact of armed conflict on indigenous women. The research will be grounded in women's experiences, and complemented by the use of sociological and legal instruments, as well as an adjudicative strategy that makes use of national legal systems and the Inter-American Human Rights system. The research is expected to contribute to social and legal reforms aimed at reducing the multiple forms of discrimination experienced by indigenous women, and promote the proper implementation of current legislation in the three countries involved and at the international level.
XM-DAC-301-2-105235-005	00004	16020	"The daily commute of millions of people to their workplace is a major source of pollution in urban areas. Information and communication technologies (ICTs) make it possible to work from remote locations, resulting in a reduction of transport-related greenhouse gas emissions. Through this new labour alternative, commonly known as""telework,""the daily commute is replaced by telecommunications links, offering an innovative way to solve environmental and traffic problems. Telework is emerging in Latin America and the Caribbean (LAC) and the debate between its supporters and skeptics is not yet supported by rigorous evidence.This project therefore aims to provide policymakers, businesses and workers with accurate, up-to-date information about the benefits and limitations of telework in the region. Particular emphasis will be placed on the relationship between telework and climate change, mainly, to what extent telework could contribute to reducing emissions and saving energy, both in the home and at the workplace. The project will also explore the social, cultural and economic implications of telework, its impact on family dynamics, gender roles, work-life balance and opportunities for the disabled or mothers with young children. The project will be carried out in the cities of Buenos Aires (Argentina), Mexico City and Lima (Peru). It is expected to result in three comparative case studies, three telework legislative models (each adapted to the country in question), a number of articles in academic journals and a book."
XM-DAC-301-2-105235-001	00004	16020	"The daily commute of millions of people to their workplace is a major source of pollution in urban areas. Information and communication technologies (ICTs) make it possible to work from remote locations, resulting in a reduction of transport-related greenhouse gas emissions. Through this new labour alternative, commonly known as""telework,""the daily commute is replaced by telecommunications links, offering an innovative way to solve environmental and traffic problems. Telework is emerging in Latin America and the Caribbean (LAC) and the debate between its supporters and skeptics is not yet supported by rigorous evidence.This project therefore aims to provide policymakers, businesses and workers with accurate, up-to-date information about the benefits and limitations of telework in the region. Particular emphasis will be placed on the relationship between telework and climate change, mainly, to what extent telework could contribute to reducing emissions and saving energy, both in the home and at the workplace. The project will also explore the social, cultural and economic implications of telework, its impact on family dynamics, gender roles, work-life balance and opportunities for the disabled or mothers with young children. The project will be carried out in the cities of Buenos Aires (Argentina), Mexico City and Lima (Peru). It is expected to result in three comparative case studies, three telework legislative models (each adapted to the country in question), a number of articles in academic journals and a book."
XM-DAC-301-2-105235-002	00004	16020	"The daily commute of millions of people to their workplace is a major source of pollution in urban areas. Information and communication technologies (ICTs) make it possible to work from remote locations, resulting in a reduction of transport-related greenhouse gas emissions. Through this new labour alternative, commonly known as""telework,""the daily commute is replaced by telecommunications links, offering an innovative way to solve environmental and traffic problems. Telework is emerging in Latin America and the Caribbean (LAC) and the debate between its supporters and skeptics is not yet supported by rigorous evidence.This project therefore aims to provide policymakers, businesses and workers with accurate, up-to-date information about the benefits and limitations of telework in the region. Particular emphasis will be placed on the relationship between telework and climate change, mainly, to what extent telework could contribute to reducing emissions and saving energy, both in the home and at the workplace. The project will also explore the social, cultural and economic implications of telework, its impact on family dynamics, gender roles, work-life balance and opportunities for the disabled or mothers with young children. The project will be carried out in the cities of Buenos Aires (Argentina), Mexico City and Lima (Peru). It is expected to result in three comparative case studies, three telework legislative models (each adapted to the country in question), a number of articles in academic journals and a book."
XM-DAC-301-2-105235-003	00004	16020	"The daily commute of millions of people to their workplace is a major source of pollution in urban areas. Information and communication technologies (ICTs) make it possible to work from remote locations, resulting in a reduction of transport-related greenhouse gas emissions. Through this new labour alternative, commonly known as""telework,""the daily commute is replaced by telecommunications links, offering an innovative way to solve environmental and traffic problems. Telework is emerging in Latin America and the Caribbean (LAC) and the debate between its supporters and skeptics is not yet supported by rigorous evidence.This project therefore aims to provide policymakers, businesses and workers with accurate, up-to-date information about the benefits and limitations of telework in the region. Particular emphasis will be placed on the relationship between telework and climate change, mainly, to what extent telework could contribute to reducing emissions and saving energy, both in the home and at the workplace. The project will also explore the social, cultural and economic implications of telework, its impact on family dynamics, gender roles, work-life balance and opportunities for the disabled or mothers with young children. The project will be carried out in the cities of Buenos Aires (Argentina), Mexico City and Lima (Peru). It is expected to result in three comparative case studies, three telework legislative models (each adapted to the country in question), a number of articles in academic journals and a book."
XM-DAC-301-2-105235-004	00004	16020	"The daily commute of millions of people to their workplace is a major source of pollution in urban areas. Information and communication technologies (ICTs) make it possible to work from remote locations, resulting in a reduction of transport-related greenhouse gas emissions. Through this new labour alternative, commonly known as""telework,""the daily commute is replaced by telecommunications links, offering an innovative way to solve environmental and traffic problems. Telework is emerging in Latin America and the Caribbean (LAC) and the debate between its supporters and skeptics is not yet supported by rigorous evidence.This project therefore aims to provide policymakers, businesses and workers with accurate, up-to-date information about the benefits and limitations of telework in the region. Particular emphasis will be placed on the relationship between telework and climate change, mainly, to what extent telework could contribute to reducing emissions and saving energy, both in the home and at the workplace. The project will also explore the social, cultural and economic implications of telework, its impact on family dynamics, gender roles, work-life balance and opportunities for the disabled or mothers with young children. The project will be carried out in the cities of Buenos Aires (Argentina), Mexico City and Lima (Peru). It is expected to result in three comparative case studies, three telework legislative models (each adapted to the country in question), a number of articles in academic journals and a book."
XM-DAC-301-2-106090-001	00001	31140	IDRC has supported a number of projects concerned with the policies governing wastewater treatment and its use in urban agriculture. Examples include: Safe Use of Wastewater, Excreta and Greywater in Low-income Urban Settings in the Middle East and North Africa (102732); and Strengthening three Periurban Agricultural Producer Organizations in Latin America (104347). This grant will allow the Centro de Investigaciones y de Estudios Avanzados del Instituto Politécnico Nacional (CINVESTAV), Irapuato, Guanajuato, to convene a three-day workshop of researchers and policymakers to assess food safety policies and practices, and the impact of wastewater reuse on fresh produce in urban agriculture in four countries: Argentina, Brazil, Mexico and Uruguay. CINVESTAV is a Mexican centre of excellence in plant biology and agricultural biotechnology. Participants from Mexico will include experts in wastewater management, food hygiene, epidemiology and plant production, as well as representatives from food inspection agencies and agricultural ministries. The participants are expected to identify best practices in food safety of urban and periurban agricultural products, and to compile a report that will include a literature review, a summary of salient issues and discussions, a list of recommendations and a list of knowledge gaps for further research.
XM-DAC-301-2-105707-001	00001	14022	Poor urban communities in most countries in Latin America and the Caribbean (LAC) have serious deficiencies in water and sanitation provision. At the same time, families in these communities obtain energy for cooking and heating either from a fragile electrical grid, or from burning wood and waste products, which have to be gathered and transported to the household. This project aims to contribute to the sustainable management of water and the reduction of greenhouse gases by establishing technical guidelines for wastewater treatment processes in terms of greenhouse gas emissions. It also aims to contribute to the generation of clean energy at the municipal level. Researchers will identify the state-of-the-art in wastewater treatment in the region and in selected countries (Brazil, Chile, Colombia, Honduras and Mexico); determine the most appropriate wastewater treatment technologies from a technical, economic, social and environmental point of view; and assess their feasibility to be included as part of the Clean Development Mechanism (CDM) under the United Nations Framework Convention on Climate Change (UNFCCC).
XM-DAC-301-2-105707-003	00001	14022	Poor urban communities in most countries in Latin America and the Caribbean (LAC) have serious deficiencies in water and sanitation provision. At the same time, families in these communities obtain energy for cooking and heating either from a fragile electrical grid, or from burning wood and waste products, which have to be gathered and transported to the household. This project aims to contribute to the sustainable management of water and the reduction of greenhouse gases by establishing technical guidelines for wastewater treatment processes in terms of greenhouse gas emissions. It also aims to contribute to the generation of clean energy at the municipal level. Researchers will identify the state-of-the-art in wastewater treatment in the region and in selected countries (Brazil, Chile, Colombia, Honduras and Mexico); determine the most appropriate wastewater treatment technologies from a technical, economic, social and environmental point of view; and assess their feasibility to be included as part of the Clean Development Mechanism (CDM) under the United Nations Framework Convention on Climate Change (UNFCCC).
IADB-ME-L1041	AG-DEV	31120	To contribute for the improvement of competitiveness, environmental sustentability and social equity in the rural sector in Mexico. In particular to: i)support direct transfers to small farmers; ii) improve management of current program PROCAMPO; iii) include monitoring and evaluation system for the program.
XM-DAC-301-2-106361-001	00005	15160	In Latin America, specifically, Brazil and Mexico, both public and private sectors are engaged in the capture, storage and management of personal data. These data are used for a wide range of purposes, such as, improving service delivery, and security and policing measures. However, data management and use is taking place in a context of poor or absent regulation and limited citizen engagement with policymakers. Inherent in the collection, management and use of personal data is a process of social classification that both includes and excludes.This project constitutes the first step in promoting public debate and influencing public policy on the issue of the protection of personal data in Latin America. It will lay the groundwork for a full-fledged research project targeting certain kinds of personal data collection and available policy windows in the region. The project will focus on three particular personal data-related activities: unique national ID cards; video-surveillance in public spaces; and the collection and control of personal data on the Internet.The work will be carried out by researchers in Brazil and Mexico who are part of a nascent research network on surveillance studies in Latin America. The network includes David Lyon, a professor and world renowned surveillance expert at Queen's University in Kingston (Canada). The group has been active for the past two years, holding symposiums on surveillance in Latin America. The researchers will map personal data collection policies and practices, and their possible connection with forms of inclusion and exclusion of citizens in public life. The project is expected to help consolidate the aforementioned network, and to generate a research proposal.
IADB-ME-L1033	ED-COM	11220	The objective of the program is to improve the results of community education by upgrading the profile, training, and retention rates of CONAFE educators. The specific objectives are: (i) to improve recruitment, education, and professional development of basic education teachers; (ii) to improve service participation and retention incentives; (iii) to improve personal safety during provision of service; and (iv) to provide for the institutional strengthening of CONAFE by improving its information, planning, and monitoring systems.
IADB-ME-L1090	RM-FIN	15111	The objective of the program is to support Mexico's federal government in its efforts to consolidate medium-term fiscal sustainability, maintain countercyclical policies to promote quicker economic recovery, and make fiscal management more effective and efficient.
IADB-ME-L1084	IS-EMP	16020	The program objectives and activities broaden the scope of the original financing. The objectives of PACE II and supplemment center mainly around the financing of scholarships to insert job seekers in employment, support labor intermediation and financing job surveys.
IADB-ME-L1039	ED-VOC	11430	To improve quality and relevance of technical high schools and technical post-secondary institutions and employability of workers. Specific objectives: Improve relevance of technical high school and post-secondary levels and to increase the impact of the skills certification system on both the productive sector and design of high schools and post secondary schools curricula
XM-DAC-301-2-106605-001	00005	33110	Rigid intellectual property norms and intensified enforcement have prompted media and medicine suppliers alike to price their products beyond the reach of all but the most affluent segment of the population. This is particularly the case in large middle income countries such as Brazil, India, Russia and South Africa. Recognition of the problem has led to a shift in international policy - evident in the Doha Agreement on Trade-related Aspects of Intellectual Property Rights (TRIPS) - in favour of increased flexibility of patent policy with respect to pharmaceuticals in developing countries. But there has not been a similar shift in the international copyright discourse and policy agenda relating to media products. This project will begin filling the void with a set of activities promoting a positive agenda for global copyright policy for developing countries, including an online resource centre for scholars and advocates, a series of working papers translating new research into policy proposals, and two international meetings of researchers and advocates of public interest intellectual property rights. A major goal of the project is to promote recommendations for international and national copyright reform.
IADB-ME-L1051	FM-BNK	24010	The objective of the First Program is to help make the small and medium-sized enterprise (SME) sector within the national oil industry¿s value chain more competitive by channeling medium- and long-term financing to that segment, as well as financing for projects to reduce greenhouse gas (GHG) emissions associated with the national oil industry. The specific objectives will be to (i) support the strategy to promote the development of suppliers and contractors for the national oil industry; (ii) support the development of SME suppliers and contractors within the oil sector¿s value chains, complementing the actions of the Trust Fund to Promote the Development of National Suppliers and Contractors for the State Oil Industry; (iii) consolidate and develop the financing market for Mexican SMEs; (iv) finance private projects to increase energy efficiency and reduce GHG emissions associated with the oil industry; and (v) strengthen NAFIN's capacity to develop financing markets for SMEs and support the structuring of strategic projects.
XM-DAC-301-2-106444-001	00005	11420	The developing regions of the world are often treated as a subject of interdisciplinary study in university in, for example, programs of African, Asian or Middle Eastern studies. Yet there is not a strong tradition for treating North America, including Central America and the Caribbean, as a region, even though the continent includes some of the richest and poorest countries in the world. This grant will allow St Antony's College at the University of Oxford to establish a 2-year post doctoral position on Central America and the Caribbean under the leadership of Canadian historian, Margaret MacMillan. The position will be awarded to a scholar from the region, in keeping with IDRC's philosophy that developing country researchers are best placed to identify and tackle development challenges.
XM-DAC-301-2-106529-001	00004	15110	As one of the first formally trained economists in Latin America and Caribbean, Raúl Prebisch was a pioneer in the discipline of economic development theory and its policy implications for the region. New biographies of his life have stimulated renewed interest in his work and contribution. For this reason, the United Nations Economic Commission for Latin America and the Caribbean (UN-ECLAC) has proposed to gather together his writings and other documents in digital format on an interactive multimedia platform. It is expected that making his work easily available to academics, researchers, students, policymakers and other interested parties will stimulate an exchange of ideas and an updated analysis of Prebisch's ideas in light of the current global context, as well as enhanced networking on the subject.
IADB-ME-L1078	PA	41010	To consolidate of the institutional and operational framework that climate change agenda of Mexico, with the necessary cross implementation considerations of public policy (mainstreaming), climate change agenda as well as promote the implementation of instruments and means of mitigation and adaptation to climate change based on an operational framework.
IADB-ME-L1080	IS-POV	16010	The purpose of this operation is to help reinforce the adjustments to the urban operating model for Oportunidades. To that end, this operation will allow the Bank to continue its technical collaboration with Mexico and to supervise the attainment of key milestones for strengthening of the urban model.
XM-DAC-41114-OUTPUT-00081790	1	23010	Support community based initiatives and actions for sustainable livelihoods to conserve Mexico's Southeastern largo ecosystems and help mitigate climate change.
XM-DAC-41114-OUTPUT-00079978	1	23010	El HPMP es una estrategia de eliminación del uso de HCFC en el país considerando un nivel agregado de consumo futuro de HCFC a partir de cambios derivados de proyectos y actividades financiadas para la eliminación de los HCFCs.
XM-DAC-301-2-106720-001	00005	15210	This project will examine the dynamics of crime, violence and drug trafficking in urban centres in three Latin American countries: Brazil (Rio de Janeiro); Colombia (Medellín and Bogotá); and Mexico (Ciudad Juarez). The study will attempt to answer the following three questions. Who perpetuates violent crime and why? What are the dynamics that determine who is victimized and how victimization takes place (particularly with respect to women and youth)? And, what conditions the recruitment of young people and children into criminal networks? The new evidence is expected to expand the knowledge base and inform policy recommendations for enhanced public safety and more effective juvenile justice.
